Date,Open,High,Low,Close/Price,Volume
4/18/2019,65,66,60.32,62,25764659
4/22/2019,61,68.9,59.94,65.7,9949738
4/23/2019,66.87,74.17,65.55,69,6786513
4/24/2019,71.4,71.5,63.16,63.2,4973529
4/25/2019,64.74,66.85,62.6,65,3863275
4/26/2019,66.12,66.99,63.6,66.22,1527450
4/29/2019,66.53,68.5,64.75,68.17,1822349
4/30/2019,68.4,72.52,66.67,72.47,4113123
5/1/2019,72.72,76.95,70.82,72.76,3301900
5/2/2019,72.75,75.89,69.69,75.5,2525285
5/3/2019,75,80.25,75,79.18,2590281
5/6/2019,75.01,80.79,74.5,78.24,2051824
5/7/2019,77.85,78.05,73.25,73.33,1975220
5/8/2019,74.61,78.5,74.03,77.68,2265503
5/9/2019,76.85,76.99,74,75.21,1348243
5/10/2019,75.79,79.74,74.77,79.63,1555091
5/13/2019,77.39,77.39,70.6,72.54,2873222
5/14/2019,74.12,76.89,73.11,73.14,1950421
5/15/2019,73.4,80,72.21,79.76,2426504
5/16/2019,80.12,87.55,79.25,83.4,4580684
5/17/2019,82.25,90.28,81.88,89.98,3442549
5/20/2019,90.1,91.46,83.27,84.67,3666775
5/21/2019,86.63,89.7,84.5,85.44,2576024
5/22/2019,84.63,85.7,82,82.43,1596424
5/23/2019,81.25,81.5,77.26,78.76,2855970
5/24/2019,80.48,81.25,74.2,76.25,2946767
5/28/2019,76.8,79.39,76.8,77.77,1641491
5/29/2019,77,77.93,73.58,75.77,1512129
5/30/2019,76.68,80.97,76.6,80.42,1996030
6/3/2019,80,81.94,75.65,75.9,1570466
6/4/2019,78.2,78.88,76.62,78.74,1134900
6/5/2019,80.14,80.6,76.24,78.04,1295760
6/6/2019,77.4,79.75,77.03,79.43,3024047
6/7/2019,93.66,98.89,92.5,94.05,9487775
6/10/2019,98.51,105.99,96,102,4852773
6/11/2019,101,101.2,91.57,94.87,4372431
6/12/2019,94.6,104.19,94,102.77,3156886
6/13/2019,105.1,105.17,98.55,100.95,3189094
6/14/2019,100.47,104.57,99.25,100.29,1889325
6/17/2019,101,102.45,97,98.11,2128508
6/18/2019,100.39,102,97.51,99.64,2272387
6/19/2019,100.49,104.44,98.63,102.39,2592675
6/20/2019,105.01,107.34,101.62,102.3,2460733
6/21/2019,101.42,101.53,97.82,100.47,2972517
6/24/2019,100.85,101.5,88.88,89.41,6011186
6/25/2019,89.43,91.5,84.63,85.03,3748955
6/26/2019,87.92,89.08,84.61,86.33,2680016
6/27/2019,89.7,92.33,87.8,90.27,3019517
6/28/2019,91.76,92.2,87.25,88.79,3228290
7/1/2019,85.13,87.79,83.1,86.86,5326805
7/2/2019,86.27,86.85,84,85.13,1868892
7/3/2019,85.45,90.6,84.51,90.45,2706066
7/5/2019,90.14,91.97,88,91.88,2582697
7/8/2019,91.44,92.79,89.89,90.76,1793297
7/9/2019,90.27,91.27,89.1,90.93,1557350
7/10/2019,91.76,93.45,91.55,92.72,2059621
7/11/2019,92.9,93.2,90.45,91.4,1784559
7/12/2019,93.01,94.93,91.37,93.3,2689652
7/16/2019,100.14,100.5,96.5,97.1,2120142
7/17/2019,97.62,101.99,97.54,99.73,2314102
7/18/2019,99.24,99.5,95.02,95.19,2035569
7/19/2019,97.15,97.79,92.88,93.38,1747704
7/22/2019,94.19,97.47,93.51,96.67,1483400
7/23/2019,97.5,98.15,93.52,97.39,2241650
7/24/2019,97.12,97.88,94.69,95.94,1283718
7/25/2019,95.84,99.6,95.75,97.11,1870276
7/26/2019,97.95,104.49,97.83,102.2,3040689
7/29/2019,102.6,103,92.1,96.47,4230283
7/30/2019,95.19,99.35,94.03,95.49,1635487
7/31/2019,96.43,97.5,93.5,95.51,1514734
8/1/2019,95.75,98.66,93.8,95.1,1530366
8/2/2019,94.92,96,92.57,93.66,1117100
8/5/2019,90.7,91.19,87.29,89.69,1774360
8/6/2019,91.5,92.29,88.1,90.43,1028654
8/7/2019,89.02,93.16,88.02,92.45,996134
8/8/2019,93.57,95.84,93.02,95.77,925610
8/9/2019,94.79,95.49,93.31,94.2,802311
8/12/2019,93.05,94.18,91.11,92.16,779341
8/13/2019,92.06,96.22,92.06,95.45,1172874
8/14/2019,93.2,94.52,89.89,92.65,1265666
8/15/2019,92.77,93.44,89.69,90.64,1085845
8/16/2019,92.12,95,92.08,92.53,1267686
8/19/2019,94.18,96.2,92.89,93.17,1226647
8/20/2019,93,93.57,91.14,91.41,746950
8/21/2019,92.86,94.18,92.35,93.01,760434
8/22/2019,93.48,95.5,91.57,93.87,883145
8/23/2019,93.14,94.13,90.41,91.63,1373215
8/26/2019,92.33,93.5,91.45,91.76,698857
8/28/2019,91.16,91.38,88.71,90.16,1148489
8/29/2019,91.5,92.68,90.7,90.87,851973
8/30/2019,91.82,92.42,89.02,91.67,1186122
9/3/2019,91.5,94.24,90.75,92.46,1540324
9/4/2019,93.95,96,93.18,93.53,2418109
9/5/2019,94.24,94.38,88.51,92.69,5055702
9/6/2019,92,96.5,84.86,85.41,7289700
9/9/2019,85.75,85.94,77.2,78.65,6713802
9/10/2019,77,81.22,76.81,80.35,2813163
9/11/2019,80,81.86,78.5,80.71,2013599
9/12/2019,81.45,82.65,79.9,81.53,1955107
9/13/2019,81.57,82.48,78.27,78.85,1416802
9/16/2019,78.5,80.99,78.26,80.67,1630142
9/17/2019,81.49,84.82,79.53,84.64,2544440
9/18/2019,84.4,86,83.5,84.55,1843660
9/19/2019,85.2,85.35,83.25,84.62,1276930
9/20/2019,85,85.35,81.5,82.63,2054552
9/23/2019,82.29,83.6,81.8,82.62,678853
9/24/2019,82.43,82.93,79.46,80.02,2147632
9/25/2019,79.12,79.99,76.08,79.6,1938824
9/26/2019,79.25,80.62,78.62,79.75,928403
9/27/2019,79.69,79.83,75.09,76.04,2350893
9/30/2019,76.13,77,74.29,76.2,1358328
10/1/2019,76.43,77.49,75.21,75.81,1384716
10/2/2019,74.5,75.78,73.66,73.85,1388979
10/3/2019,73.9,78.49,73.39,76.83,2607615
10/4/2019,77,77.78,75.28,76.53,1799740
10/7/2019,76.99,77.43,75,76.99,1432473
10/8/2019,76.01,76.35,72.58,73.59,3158040
10/10/2019,72.86,73.78,71.01,71.01,2284911
10/11/2019,71.37,72.89,70.9,71.35,2392819
10/14/2019,70.46,71.24,69.55,70.8,2220769
10/15/2019,68.76,71.27,68.38,71.11,10590632
10/16/2019,69.7,69.95,66.51,67.69,6077995
10/17/2019,67.09,68,66.76,67.03,3579706
10/18/2019,66.26,66.93,64.53,66.08,4821710
10/21/2019,65.29,66.5,64.16,65.77,3078276
10/22/2019,64.2,64.6,61.02,62,4611123
10/23/2019,61.33,63.74,60.97,62.06,3609183
10/24/2019,63,65.94,62.76,64.52,3437110
10/25/2019,64.33,64.99,62.79,63.45,1953670
10/28/2019,63.96,67.47,62.26,66.56,3512760
10/29/2019,65.77,67.11,64.8,65.49,1825982
10/30/2019,65.97,70.09,65.66,70,4672440
10/31/2019,69.52,70.08,66.6,69.89,3413049
11/1/2019,69.86,70.55,68.02,70.39,3562840
11/4/2019,70.81,70.85,69.01,70.12,1565768
11/5/2019,70.71,70.85,66.68,66.89,1813895
11/6/2019,66.95,67.13,65.36,66.83,1328637
11/7/2019,67.03,68.68,66.21,66.81,1129086
11/8/2019,66.54,70,66.52,69.85,1478204
11/11/2019,69.51,70.19,67.76,68.39,1040564
11/12/2019,68.5,70.05,67.56,68,1910953
11/13/2019,68,68.51,66.87,68.01,1987325
11/14/2019,67.77,68.15,66.71,67.74,938903
11/15/2019,68.13,71.1,67.91,70.01,2316053
11/18/2019,70.47,71.14,68.78,70.08,1676349
11/19/2019,70.19,70.33,68.19,69.64,1706045
11/20/2019,69.25,71.71,68.55,70.99,2794193
11/22/2019,72,74,71.15,73.16,3059878
11/25/2019,73.8,75.06,72.86,74.55,1943187
11/26/2019,75,75.77,74.76,75.16,1848973
11/27/2019,75.81,75.84,73.36,74.08,1356274
11/29/2019,74.1,74.94,73.86,74.5,512643
12/2/2019,74.06,74.5,68.46,68.93,3161571
12/3/2019,66.72,70.53,66.05,70.02,2445706
12/4/2019,70.5,70.9,69.15,69.96,2076766
12/5/2019,70.03,70.75,69.22,69.67,3904978
12/6/2019,64.26,65.08,62.11,62.74,11257628
12/9/2019,62.39,67.27,62.33,65.94,5251707
12/10/2019,65.49,65.83,63.39,64.57,3896467
12/11/2019,64.24,64.45,62.05,63.52,3686821
12/12/2019,63.49,64.23,62.12,62.49,3321682
12/13/2019,62.5,63.75,62.02,63.54,2489582
12/16/2019,63.59,66.39,63.56,66.35,3284172
12/17/2019,66.62,66.62,65.4,66.17,2301148
12/18/2019,66.22,68.14,66.04,67.6,2237384
12/19/2019,67.75,68.46,67.1,68.18,1613189
12/20/2019,68.2,68.48,66.41,66.93,2201429
12/23/2019,67.02,67.5,65.93,66.15,1664335
12/24/2019,66.3,66.89,65.74,66.46,562588
12/26/2019,66.5,68.19,66.3,67.45,1387945
12/27/2019,67.51,67.96,66.51,66.64,955620
12/30/2019,66.56,67.18,65.52,66.79,1162743
12/31/2019,66.38,68.18,66.31,68.04,1352189
1/2/2020,68.8,69.24,68.02,68.72,1315723
1/6/2020,66.63,70.5,65.81,70.32,3152028
1/7/2020,70.29,72.84,69.37,71.9,7004619
1/8/2020,71.81,73.29,71.03,72.55,2483510
1/9/2020,73.99,74,71.35,72.62,2776328
1/10/2020,73.08,73.8,72.25,73.09,1656235
1/13/2020,73.89,75.58,73.8,74.03,3348152
1/14/2020,74.32,75.12,72.26,73.16,1910801
1/15/2020,73.28,77.78,73.2,76.94,3963465
1/16/2020,78,78.79,75.11,76.11,2999426
1/17/2020,76.66,76.9,75.49,75.56,1357419
1/21/2020,75.56,77.12,74.32,76.73,1606683
1/22/2020,77.07,77.11,75.46,75.61,1501614
1/23/2020,75.67,75.97,74.21,74.47,1279050
1/24/2020,74.97,76.19,72.37,73,1660195
1/27/2020,71.33,72.13,70.32,70.44,1750696
1/28/2020,71,72.48,70.26,71.51,1598234
1/29/2020,72.51,74.14,71.21,73.58,1374490
1/30/2020,73.1,74.8,72.55,74.54,1425377
1/31/2020,74.27,76.67,73.3,76.3,2521702
2/3/2020,77.69,88.94,77.51,87.66,13023449
2/4/2020,91.04,93.3,83.5,85.79,10611018
2/5/2020,85.77,90.97,83.76,86.99,5126835
2/6/2020,87,89.44,85.26,87.26,2410793
2/7/2020,87.23,90.6,86.81,88.64,2636910
2/10/2020,89.09,89.98,86.91,89.67,2071618
2/11/2020,90,90.5,87.93,88.68,2731896
2/12/2020,88.66,89.5,86.52,88.28,1671131
2/13/2020,87.61,91.93,87,89.86,3406429
2/14/2020,90.88,91.71,89.81,90.95,2295039
2/18/2020,93.02,98.14,92.4,96.39,5669685
2/19/2020,100.32,105.08,99.75,103.93,7793793
2/20/2020,104,110.75,101.43,105.29,11293189
2/21/2020,104.03,104.29,98.09,101.76,5535908
2/24/2020,97.8,110,97.02,105.01,12172751
2/25/2020,108.52,111.8,104.47,107.08,13425942
2/26/2020,109.94,111.3,105.6,106.88,6885393
2/27/2020,109.43,118,107.6,113.55,13511847
2/28/2020,121.07,121.93,97.37,105,21710989
3/2/2020,109.35,114.5,102.5,113.11,10157444
3/3/2020,114.55,119.2,112.11,117.47,11033675
3/4/2020,118.51,119.97,113.11,116.8,12102566
3/5/2020,110.25,129.83,110,125,28149364
3/6/2020,119.65,122,107,114.32,22975681
3/9/2020,105,116.5,100.88,113.75,14571293
3/10/2020,113.8,113.8,105,108.49,10244041
